Name,NAME_CAPS
Argentina,ARGENTINA
Bolivia,BOLIVIA
Brazil,BRAZIL
Chile,CHILE
Colombia,COLOMBIA
Ecuador,ECUADOR
Falkland Islands,FALKLAND ISLANDS
French Guiana,FRENCH GUIANA
Guyana,GUYANA
Paraguay,PARAGUAY
Peru,PERU
South Georgia and the South Sandwich Islands,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
Suriname,SURINAME
Uruguay,URUGUAY
Venezuela,VENEZUELA
