692,.0273709,.3301218,2113727,1,1
792,.0387902,.308396,960711.6,0,0
685,.0359272,.3124512,1136286,0,1
592,.0064935,.3452381,733421.9,0,1
481,.0241494,.3832546,1193469,0,1
395,.040233,.3648257,1212572,0,0
503,.0080087,.3096825,1331275,0,0
852,.0064935,.2758504,636122.8,0,1
467,.0324675,.3380952,825482.6,0,1
1539,.0465551,.3695319,1443129,0,1
1308,.0240726,.3557353,2293759,0,1
424,.0392857,.3338095,1895589,0,1
1041,.0551193,.360742,2127548,1,1
398,.0072387,.3190086,763712.5,0,1
543,.0095238,.3052381,722450.8,0,0
160,.037962,.3264347,2113925,0,1
1339,.012213,.3684169,2188137,0,0
461,.0064935,.2822751,537863.1,0,1
577,.04873,.3611673,1192831,0,1
784,.0472752,.3396306,1041048,0,1
2161,.0524368,.3979263,1246088,0,1
2388,.0535618,.4144689,3241294,0,1
1025,.0469765,.3600819,1298913,0,1
906,.0484924,.3896826,1303565,1,1
883,.019358,.3046721,1031909,0,1
1062,.0175707,.3738095,2127548,0,1
662,.0536633,.3292004,1128143,0,1
948,.0424544,.3471368,1633465,0,1
1111,.0450726,.3679272,985413,0,1
518,.0187313,.2913919,464025.3,1,1
654,.0117383,.3688645,2796043,0,1
999,.0353303,.3355607,2127548,0,1
2374,.0553013,.3665496,1352542,0,0
2066,.0393522,.3886116,1887102,0,1
253,.0392535,.3632561,1386244,0,0
376,.0453435,.3657509,958482.3,0,1
1038,.0473098,.3360544,692043.3,0,1
2359,.0405092,.392258,1578585,0,1
670,.0071719,.3482232,529119.3,0,1
577,.0356048,.3272606,1013417,0,1
2344,.0577756,.393956,1667587,0,1
2500,.0480605,.4051065,1877078,0,1
1904,.0408528,.3294901,960381.5,0,0
2436,.0467033,.3567766,1317554,0,1
2367,.042576,.3792587,3241294,0,1
1000,.0347954,.2867475,749345.8,0,1
805,.0414837,.336605,1519372,0,1
963,.0473699,.3711374,1497267,0,1
889,.0208774,.2848837,936171.6,0,1
786,.0294337,.2672131,503262.3,0,1
1345,.0177096,.3214286,936259.5,0,1
584,.0400616,.3242938,639163.4,0,1
158,.0175791,.3104972,1015908,0,1
323,.0506198,.1318182,969127.9,0,1
307,.0057194,.3231788,969127.9,0,1
920,.0459433,.3526882,551893.7,0,1
1089,.0470683,.3692307,1435573,0,0
